"","x"
"2544","@Graeme444 @bigviolin96 @Peston Very much the same way many Sunderland car factory workers voted for Brexit...and still seem in favour."
"2545","@NewroUgh @RobB31141567 @steve_buckwell @phillipdonald69 @patch3531 @Tillytoo1233 @Brexit_EuNow Or that the eu had the emissions issues, the diesel and fossil fuel rejection and the China and USA shenanigan. Germany has always conned us with their car pricing"
"2546","@RobB31141567 @steve_buckwell @NewroUgh @phillipdonald69 @patch3531 @Tillytoo1233 @Brexit_EuNow But we can and will move on, there's will slip. The only thing saving them was their car industry and that's on a slippery slope"
"2547","@C4Dispatches @maxrushden I'm no fan of @Jacob_Rees_Mogg and I voted #remain (and believe it will be a car crash when we leave), but they are barking up the wrong tree here. Lux and Dublin standard locations for funds and his funds haven't ""made money from Brexit"". Let's not get distracted by this shite"
"2548","No-deal Brexit could cost Japanese carmakers in UK $1bn a year - The Guardian https://t.co/isYLMvjVzY"
"2549","@hurunui9414 @boblister_poole I will never buy a German car again. This Brexit saga has exposed how that country has rigged the EU for itself."
"2550","@UKVolkswagen This whole Brexit saga has turned over a few stones. One thing we now know, is that the EU is a racket for Germany to benefit from. Sorry, will never buy another German car again."
"2551","@AudiUK @SpursOfficial @dele_official @ChrisEriksen8 @LucasMoura7 @daosanchez26 The way the EU have treated us in these Brexit ‘negotiations’, I’ll never buy a German car again. I don’t care how good they are."
"2552","Due to #Brexit, of course... 

https://t.co/UoDZD39Obt"
"2553","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/oIBZXpzZLq"
"2554","Oh sugar. Here we go. I laughed with car insurance guy on phone in Germany this morning about the Brexit comedy, as it is viewed there. This here is not funny anymore. https://t.co/aJn3WiCMJv"
"2555","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit https://t.co/DbUI5ElixE via @MetroUK"
"2556","@piersmorgan No Law amendments changed Purposely for a car crash Brexit to stop the Law abiding Democratic Majority. Gina Miller Bill payed for by Waste of Space Knight  giving cross Party Parliament the Vote On Stopping Brexit. Our Democratic Law has been compromised. https://t.co/A1L03FiPGE"
"2557","Unsurprisingly businesses need certainty
https://t.co/WLaizhs4dQ"
"2558","No-deal Brexit could cost Japanese carmakers in UK $1bn a year. WHERES THE GOOD NEWS whoops I forgot there isn’t any for us ordinary folk!  https://t.co/FCmyLfY4nd"
"2559","If car makers leaving the UK is not due to Brexit, but because of issues surrounding the global car market, how come those car makers are expanding, opening and not closing plants in other countries, presumably afflicted by exactly the same global car market difficulties?"
"2560","Brexit has already dismantled the UK car industry and £800bn worth of the financial services industry, while not ending austerity and making the position of the NHS even more precarious. 

Well-played, Tories. Well-played. We haven’t even left yet."
"2561","No-deal Brexit could cost Japanese carmakers in UK $1bn a year #RevokeA50 #PeoplesVote #FBPE  https://t.co/zekHPBgeLs"
"2562","Heard on @farageonlbc caller say he's sick of all these car manufacturers,  we'll just buy cars made in Britain instead? Same guy also thinks no deal WTO is best for UK. I'm really trying hard to be nice to leave voters!

#Brexit 
#RevokeArticle50 
#RevokeRemainRebuild"
"2563","https://t.co/1kX5pziEXf

Tristan Shale-Hester 2019-03-11 16:22

Crash repair centres rely heavily on ‘just-in-time’ supply chains, which face jeopardy if extra border checks follow a no-deal Brexit

Up to 1,000 vehicle repair companies in the UK could close within two weeks of … https://t.co/0Ym15j3vjC"
"2564","No-deal Brexit could cost Japanese carmakers in UK $1bn a year #Brexit https://t.co/OieqnvkBqL"
"2565","@juliamacfarlane Most of us are but there a lot of people having sleepless nights over it as they see their livelihoods and the family well-being under threat 

https://t.co/1UwTfyF0kq"
"2566","Vehicle Repair is an industry dominated by SMEs who don’t have the same access to capital or deep pockets for contingency.  By week 3 they will be struggling to stay afloat.  
1/2 #FBPE 

Vehicle repair companies could collapse after a no-deal Brexit

https://t.co/G2lJr74Jz2"
"2567","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit https://t.co/zYGxjQ6yrr via @MetroUK"
"2568","It's like watching a car wreck happen in slow motion. Or almost like looking in a mirror.

What the heck happened to the English-speaking world that brought on such group insanity? Hold out Canada, Oz &amp; NZ.

https://t.co/x4TBwKimyL"
"2569","German car makers offer May free set of mud flaps on her new 5 series as part of Brexit deal https://t.co/TAeYAVA6GO"
"2570","But hey, worth it to control you immigration eh? I mean, Trump wants a wall but you want a sea. https://t.co/k78jrmijar"
"2571","Whatever happens tomorrow, all this &lt;motions&gt; is still a car crash. The best option is still emphatically #RevokeArticle50 but if we Brexit, the best we can hope for right now is a slo-mo crash.

Join @LibDemEurope to input into our future links with EU.
https://t.co/hCdJXuT2Zx"
"2572","Whatever happens tomorrow, all this &lt;motions&gt; is still a car crash. The best option is still emphatically #RevokeArticle50 but if we Brexit, the best we can hope for right now is a slo-mo crash.

Join @LibDemEurope to input into our future links with EU.
https://t.co/FvENN9m4mh"
"2573","@C4Dispatches I would hope any investment vehicle would have increased profits in the last two years, the FTSE 100 has increased by about 1400 points since 12th Feb 2016, despite fears of Brexit."
"2574","Vehicle repair companies could collapse after a no-deal Brexit - Business Insider https://t.co/lW8SvrpAeS"
"2575","Repeat this in Swindon, Cowley or Derby where car workers have lost jobs or would, if the country followed you into a no deal Brexit. They'll be out of work with their homes at risk, what about you @Nigel_Farage? You'll still be earning hundreds of thousands. Hypocrite. https://t.co/NCa8bJJFAB"
"2576","I wonder if this march will go through Derby or Cowley where car manufacturers have just warned that the no deal Brexit that @Nigel_Farage wants may lead to more job losses at Toyota and Mini. 

Nigel really knows how to look after the workers! 

 https://t.co/7w1VNuSNUA"
"2577","No-deal Brexit could cost Japanese carmakers in UK $1bn a year

https://t.co/jY1stIZ97w"
"2578","@julianolly @terrychristian Men and women get charged differently anyway. 

""The UK Gov has confirmed all EU rules will initially continue to apply. [A post Brexit decision revert] would be highly contentious .. to consider reintroducing gender discrimination in any area.”

https://t.co/KvxxYg35P6"
"2579","No-deal Brexit could cost Japanese carmakers in UK $1bn a year

https://t.co/Ip5i3H36Qx"
"2580","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/LHmjbNBEil"
"2581","New blow to UK car industry as #Toyota warns on no-deal #Brexit https://t.co/ZBJYHap8En via @IrishTimesBiz"
"2582","No-deal #Brexit could cost Japanese carmakers in UK $1bn a year. Presumably French, German and Indian carmakers too ... https://t.co/l1B73GZXZ1"
"2583","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit https://t.co/hfOxhEFEGM via @MetroUK"
"2584","@riobard51127833 It literally just happened. In the car coming home from Beavers. 5Live on the radio and they were talking Brexit. He wondered what was going on."
"2585","*coughs* 

Up to 1,000 car repair firms 'face collapse' after no-deal Brexit https://t.co/SlNnFyb2EQ"
"2586","Oh, an other #Brexit bonus. 

https://t.co/j5wBUVOOQv"
"2587","""A no-deal Brexit would cost Japanese carmakers in Britain more than $1bn a year if 10% tariffs were imposed on trade between the UK and EU....."" https://t.co/XSzmUeyyiC"
"2588","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/gq3RzF1JZA"
"2589","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit https://t.co/zDdbI2fmqw via @MetroUK"
"2590","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/kKYFLtl9rq"
"2591","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit https://t.co/QOLc47wH8N via @MetroUK"
"2592","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/UXwNhiNjom"
"2593","No-deal #Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/ruhGlD14xb #Automotive #japan"
"2594","No-deal Brexit could cost Japanese carmakers in UK $1bn a year 
Nissan, Toyota and Honda together account for 50% of UK car production - trade under WRO terms could cost the companies $1.17bn in operating profit, according to Moody’s Investors Service.

https://t.co/vaHgs2Txnt"
"2595","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit https://t.co/DUy1DzBfJv"
"2596","Britain's luxury sector warns of £6.8 billion loss from no-deal Brexit ... 
 1 hour ago ... Britain's luxury sector, including names such as fashion house Burberry and car 
maker Bentley, could lose up to 6.8 billion pounds in exports a ... 
 https://t.co/LQ84VvGNL5"
"2597","BMW may stop making Mini at Cowley if there is no-deal Brexit 

Carmaker joined by Toyota in warning over threat to jobs if UK leaves EU without deal
#PeoplesVote the #RevokeA50
https://t.co/VTkHtDrbqD"
"2598","Toyota and BMW warn no-deal Brexit could hit UK investment

Car giants Toyota and BMW have both warned a no-deal Brexit threatens the production of their cars in the UK
 https://t.co/iPz9cqkeEt"
"2599","No-deal Brexit could cost Japanese carmakers in UK $1bn a year

A financial hit in the order of hundreds of millions of pounds would add to concerns over the future of 3,200 employees in Burnaston and in Toyota’s engine plant in Deeside, north Wales
https://t.co/vDXYf3fap6"
"2600","No-deal Brexit could cost Japanese carmakers in UK $1bn a year 

https://t.co/DrTX73Sr5o via @guardian"
"2601","Love that @theresa_may @Conservatives have pushed #brexit right to transfer deadline day....

To be fair they have only had TWO YEARS......

It’s not like the futures of SIXTY MILLION people is at stake.....

Just need Harry at his car window and Jim White shouting BACKSTOP now"
"2602","Theresa May is in Sainsbury's car park #cpfc #Brexit"
"2603","No-deal Brexit could close up to 1,000 car repair companies https://t.co/0bu0DYAYbH https://t.co/MW4Y0XSeR3"
"2604","No-deal Brexit could close up to 1,000 car repair companies https://t.co/7C0QzjJliT https://t.co/Hl9Ow8jLlh"
"2605","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/w1tznnYEja"
"2606","Auto woes drive dip in German industrial output as Brexit nears https://t.co/i004EvryNR"
"2607","Auto woes drive dip in German industrial output as Brexit nears https://t.co/y53fp4gNIw"
"2608","#ScotRef <U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F><U+0001F1EA><U+0001F1FA> Brexit: Sunderland locals unfazed despite uncertainty over Nissan plant https://t.co/3EyiTgXcnY"
"2609",".@laylamoran I’m your constituent – please tell me what you’re going to do about Brexit causing job losses in the car industry? https://t.co/EILTejlHyM"
"2610","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/iGDTApXw9l"
"2611","@mjhdl Lol, who will be able to afford a new car in post brexit Britain?"
"2612","I've been mentioning this for over 2 years. Everyone talking about new cars and ignoring the Automotive Aftermarket. This article doesnt even mention the EU block exemption of Auto warranty servicing. #Brexit #18daystogo https://t.co/tnKNJ2o46T"
"2613","Meanwhile, on the other side of the Pond, Theresa May &amp; the Gang Who Couldn't Plan a one car parade stumble along. She is reported to be flying to Strasbourg for last minute talks
https://t.co/EGsYcJ3AI5"
"2614","This is the reality of Brexit - a reality Raab and the most mendacious wreckers of our country must have laid at their door time and again, in order to save jobs, livelihoods and British industry from their reckless rampage. #StopBrexit https://t.co/e6jKOtreH8"
"2615","On the move this week: Helsinki, Brussels, Luxembourg, Paris, London and...Solihull! Only one flight, rest by car or train. Interesting to be in the UK towards the end of the week. A few votes will have taken place before that...I think. #brexit"
"2616","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/vwVmF08TzU"
"2617","Clicking on any of the brexit related 'trends' atm is a great example of how bourgeois media uses its pseudo-social extension as the vehicle to further 'dramatise' political punditry to the point there is no political substance whatsoever, just a constant loop of empty hyperbole."
"2618","@Rollo54 @DominicRaab @ukonward I know. I was making the point that even if the car industry is nothing to worry about(?!), Brexit is still a disaster.
@ByDonkeys #StopBrexit #Remain #RevokeA50 #PeoplesVote https://t.co/KfrvgrGxRS"
"2619","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/RBHUXPmXOc"
"2620","13 automotive Brexit myths – busted - SMMT <U+0001F697> https://t.co/zhiqWLwwhk"
"2621","@DanielJWebs @JonBarakatt Kissing a girl ... stopping the Brexit ... buying a car ... come on give us a tip."
"2622","Brexit: Sunderland locals unfazed despite uncertainty over Nissan plant https://t.co/YfKpolPcKb https://t.co/v3TfdWPRIh"
"2623","No-deal Brexit could cost Japanese carmakers in UK $1bn a year

https://t.co/rpzpmb6UO9"
"2624","Brexit uncertainty is destabilising the UK's automotive sector, and undoing the work of a previous prime minister and her government...

#ClassicCars #Nissan #Japanese #British #Brexit
https://t.co/eRoxRbL333"
"2625","@ernietvr @C4Dispatches @Channel4News The @theresa_may government is already committed to the ""managaed decline"" of the British car industry, ie its short term destruction.

It may already have been damaged beyond repair. 

https://t.co/vcHXA4ixhw

https://t.co/j0lefhvS2I"
"2626","Will Brexit impact car prices here in the US? On this DJV Show Update  https://t.co/0UjXQaNZ42, auto expert Nik J Miles on who Brexit will benefit and who will see prices of cars skyrocket. Plus the new movie about John DeLorean and a new supercar from Sweden that can go 300 MPH! https://t.co/969sM8D7Ze"
"2627","Anyone else thinks this looks like when the car salesman goes off to check before coming back with a ""manager's special"" to try and clinch a deal?

Shoddy way to sell cars, inexcusable way to negotiate future relationship. #Brexit #Chaos"
"2628","Up to 1,000 vehicle repair companies could collapse within 2 weeks of a no-deal Brexit #Topbuzz https://t.co/JVmoNmvZP1"
"2629","@unitetheunion @LenMcCluskey But Len supports Brexit and japanese car makers are leaving because of brexit."
"2630","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit - Metro #brexit <U+0001F92C> https://t.co/bgaapJl6hu"
"2631","Brexit: Sunderland locals unfazed despite uncertainty over Nissan plant https://t.co/wJWNUxdHyf https://t.co/ciAhTR2j6P"
"2632","Brexit: Sunderland locals unfazed despite uncertainty over Nissan plant https://t.co/Bqv1h3vZqC https://t.co/lt6aONJGYj"
"2633","@paulsinha Stay out of the car post Brexit . You can still go to town on the 8.21."
"2634","@R1HOM @bbcquestiontime @DominicRaab Also, have you spoken to your automotive &amp; white goods customers about how Brexit will affect them?  One of my automotive customers has set up an office and warehouse in Paris to serve the EU market; their U.K. operations will be downgraded to a provincial site. Just one example."
"2635","@leeleehutong @lulichill @talkRADIO @JuliaHB1 @mrjamesob What’s the Japanese car firm porkie?

Having traded with Japanese companies for 15 years I know that saving face and the principle of ‘wa’ means that they would never say that Brexit was the cause to prevent causing offence."
"2636","@cash4questions2 @OldandWise28 @talkRADIO @JuliaHB1 Clean Brexit is a cheap oxymoron. There can be absolutely nothing clean about a no deal Brexit. Quick doesn’t imply clean in a car crash or Brexit."
"2637","No-deal Brexit could cost Japanese carmakers in UK $1bn a year, but Wayne from Sunderland is not having any of it | Business | The Guardian https://t.co/vcCf9zIdeR"
"2638","Sunlit uplands...No-deal Brexit could cost Japanese carmakers in UK $1bn a year

https://t.co/9I2dSbjMWQ"
"2639","No-deal Brexit could cost Japanese carmakers in UK $1bn a year. https://t.co/2wKQDG2d8d"
"2640","Twenty of, plenty of chyrons, metaphors, etc -- https://t.co/UGvdtPxdE7 -- we’re talking @BetoORourke &amp; sharp knives, Dem contenders &amp; their clown car, @Amazon &amp; knee-capping, the Founders &amp; game shows — loyalty above brains — &amp; ending with https://t.co/afdf1OmAok  @NewYorker"
"2641","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/g6BMeOoz0S"
"2642","No-deal Brexit could cost Japanese carmakers in UK $1bn a year: report https://t.co/svHEEYBwon"
"2643","@mikegalsworthy @BorisJohnson Britain unfortunately due to #Brexit is the bad neighbor. It’s like #Britain is the house with the overgrown garden and the car up on blocks in front in a very nice neighborhood."
"2644","International Driving Permit: will I need a special licence to drive abroad after Brexit? https://t.co/MEjLCLvQl4 via @CARmagazine @TimPollardCars #Brexit https://t.co/lnld8ST3kW"
"2645","Auto woes drive dip in German industrial output as Brexit nears - https://t.co/sx5j9JSPC5"
"2646","Its interesting many a Brexiter appear to be people with cars who own their own homes and of a certain age. I wonder how they’ll feel about this. There is still time make your voice heard stop being apathetic and march on parliament !
# Revoke A50 https://t.co/Ss1YHWiaGU"
"2647","Brexit: no-deal could cost UK luxury car sector £6.8 billion #ukinvestormag https://t.co/Ueap5b66uJ"
"2648","#ford warns that 'Hard Brexit is a red line'. #supercar https://t.co/zSDEgAasWJ https://t.co/bxQ5QlMJQJ"
"2649","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit https://t.co/EmEKZ17UjZ"
"2650","@LeaveMnsLeave Brexit is a slow  motion  car crash."
"2651","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit

https://t.co/PrGRsbo1n0

Sent via @updayUK"
"2652","Vehicle repair companies could collapse after a no-deal Brexit - Business Insider https://t.co/UlE7pKnKir"
"2653","@jimeekay @lulichill @talkRADIO @JuliaHB1 @mrjamesob How about the good old Japanese car firm porkie for starters?
Despite the top dogs of the companies stating it's nothing to do with #brexit it's still being trotted out"
"2654","Up to 1,000 vehicle repair companies could collapse within 2 weeks of a no-deal Brexit https://t.co/JI77Tr86hv  
How many times are you guys going to shoot yourself in the foot before you stop doing it?"
"2655","Imagine if your business was going down the pan as a consequence of Brexit or you had a job in a Swindon car factory? Surely you couldn't help but to feel very angry with these charlatans...... https://t.co/PYObmkSTgT"
"2656","What you need for motoring post Brexit:
#FreedomOnTheRoads #NoBoarders
https://t.co/tO7kOAR6I7"
"2657","European smarter travel, all you need to know post Brexit:
#FreedomOnTheRoads #NoBoarders
https://t.co/6nvQsNwq7z"
"2658","Following Brexit is like that old saying of you can’t resist watching a slow motion car crash. Except now with all the tech available, you are in the car and watching the car slowly, ever so slowly, crash but with no way to get out..."
"2659","IDP for European travel explained:
#FreedomOnTheRoads #NoBoarders
https://t.co/KSfDcosSPv"
"2660","No-deal Brexit could cost Japanese carmakers in UK $1bn a year https://t.co/MzAqZEEJqu"
"2661","We're in despair, Brexit causes disrepair. 

https://t.co/F0jnxj3nF7"
"2662","@Simon_Nixon @gavinesler @NewFinancialLLP Have a look BJ @bernardjenkin. Brexit at what cost? This is just one industry of course - and one like car manufacturing - also decimated by Brexit."
"2663","Interesting potential development in UK car manufacturing. The industry globally really is going through seismic changes....regardless of #Brexit https://t.co/uJXgwZGerf"
"2664","The State of the Automotive Industry - key things you need to consider https://t.co/orj7j20IWe #marketing #marketingtransformation #automotive #automotiveindustry #agencyecosystem #cx #brexit"
"2665","No-deal Brexit could cost Japanese carmakers in UK £1bn a year https://t.co/mpGU98MDfI The only rational option economically in such circumstances together with over capacity would be complete withdrawal from UK. #BrexitReality"
"2666","Driving abroad post Brexit!
#FreedomOnTheRoads #NoBoarders
https://t.co/52hTV5CyoM"
"2667","Will you need a special licence after Brexit?
#FreedomOnTheRoads #NoBoarders
https://t.co/gBftNDV3gk"
"2668","A billboard warning about Brexit’s effects on the car industry was put up near the M1 highway in Tinsley. 

https://t.co/ZEh2F3cvj9"
"2669","No-deal Brexit uocld cost Japanese carmakers in UK £b1n a year https://t.co/Zh8hGQyZ78"
"2670","No-deal Brexit could cost Japanese carmakers in UK £1bn a year https://t.co/9F736km0Wl"
"2671","A #plunge in car #Production drove an unexpected drop in #German industrial output in #January as the engine room of #Europe ’s largest economy, which narrowly avoided recession last year, stuttered amid trade friction and unease about Brexit.

#MNA_English #MNA https://t.co/iaDx94Jht4"
"2672","#Plunging car production drove an unexpected drop in #German industrial output in #January, as the engine room of #Europe ’s largest economy stuttered on trade tensions and unease about #Brexit

#MNA_English
#MNA https://t.co/7zJVfS8SIw"
"2673","IDP after Brexit...What do you need to know?
#FreedomOnTheRoads #NoBoarders
https://t.co/hkwwzZXHeW"
"2674","Just what is an IDP?
#FreedomOnTheRoads #NoBoarders
https://t.co/dT9LS8Y0ms"
"2675","No-deal Brexit could cost Japanese carmakers in UK £1bn a year https://t.co/23bMz573Y1"
"2676","If today's interviews are anything to go by it seems we live in a country where in terms of news agenda a pitch invasion is more important than Brexit and climate change and a vehicle through which we can address drug use, knife crime and even counter terrorism. Utterly bizarre."
"2677","Must read- SMMT setting the record straight on ‘no deal’ Brexit impact for the automotive sector, as Parliament debates the meaningful vote. https://t.co/4dHoB87lA1"
"2678","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit https://t.co/wPnIVlKz1f"
"2679","No-deal Brexit could cost Japanese auto makers in UK £1bn a year https://t.co/zE1NUTETcj #BusinessNews"
"2680","Why the hell is it that Brexit has brought out the ""lets bring the coal mines back"" and ""let's bring nationalised car manufacturing back"" idiots?"
"2681","Up to 1,000 vehicle repair companies could collapse within 2 weeks of a no-deal Brexit https://t.co/gWVtCtD8DW"
"2682","No-deal Brexit could cost Japanese auto makers in UK £1bn a year #stopbrexit https://t.co/nbcum0Y4K4"
"2683","Britain aims to build an industry-leading car-battery factory to accelerate a push into electric vehicles as Brexit hurts demand and jobs https://t.co/vW02E8vYml https://t.co/BA6i922xgF https://t.co/Fc3P3s11JJ"
"2684","Auto woes drive dip in German industrial output as Brexit nears #stopbrexit https://t.co/UEmTVlOFz4"
"2685","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit https://t.co/EXO9nBsTwQ via @MetroUK"
"2686","Up to 1,000 car repair firms 'face collapse' after no-deal Brexit  https://t.co/d0tyMZXf4d"
"2687","Podcast - Jody Wilson-Raybould, car insurance and Brexit. @chmlbillkelly https://t.co/7z4rSfmASe"
"2688","No-deal Brexit could cost Japanese auto makers in UK £1bn a year

Put this in a side of a bus ? 

https://t.co/DkWLTZOOs8"
"2689","No-deal Brexit could cost Japanese auto makers in UK £1bn a year https://t.co/ujfPoEFEiV"
"2690","#Brexit casts shadow over #GenevaCarShow https://t.co/4iKE52SC38 via @ReutersTV https://t.co/b9X28r3dkF"
"2691","WATCH: Job cuts and losses at Germany's Schaeffler come amid #Brexit uncertainty and possible U.S. tariffs weighing heavily on European auto industry https://t.co/pPUHFG9fjw https://t.co/LMmGSgzA9n"
"2692","WATCH: Job cuts, losses at Germany's Schaeffler come amid #Brexit uncertainty and possible US tariffs weighing heavily on European auto industry https://t.co/pPUHFGqQI6 https://t.co/ypMJ08VDf6"
"2693","Auto woes drive dip in German industrial output as Brexit nears https://t.co/uYwkMfkblg https://t.co/MkzeY0n0hl"
"2694","WATCH: BMW warns it could move production of the iconic Mini car out of the UK in the event of a disorderly #Brexit https://t.co/5expP3OjtD via @ReutersTV https://t.co/awz1yMQteJ"
"2695","The usual mix of autos are on display at the #GenevaCarShow with one big difference from previous years: they may be getting harder and costlier to make – and more expensive to buy https://t.co/4iKE52B0Ey via @ReutersTV https://t.co/vspyBEGjIs"
"2696","#Brexit clouds #GenevaCarShow https://t.co/4iKE52B0Ey via @ReutersTV https://t.co/QKdPBk4lm0"
"2697","There's the usual glitz at this year's #GenevaCarShow, but depending on #Brexit, the autos on display get harder and costlier to make – and more expensive to buy https://t.co/4iKE52SC38 via @ReutersTV https://t.co/tEcsskYur4"
"2698","Up to 1,000 vehicle repair companies could collapse within 2 weeks of a no-deal Brexit - Business Insider https://t.co/pAyZlAl6yU via @GoogleNews"
"2699","""But, but, but....the rising price of diesel!"" https://t.co/JuntFfDqHn"
"2700","Theresa May goes to Strasbourg for Brexit talks with EU's Junker. I think #Boeing737MAX8 would be the perfect vehicle for her journey <U+0001F60E><U+0001F621>

#Strasbourg #Brexit #meaningless https://t.co/0OF2XcUpQC"
"2701","Nice to hear a familiar voice on NPR's Morning Edition: Prof David Bailey @dgbailey Editor-In-Chief of @RegionalStudies! Looks like regional industrial policy expertise is crossing the pond! @regstud @SallyJHardy https://t.co/fqmHq7Xj1B."
"2702","The German economy loses momentum as clouds develop around trade uncertainty and Brexit https://t.co/lNdxMcDAJE"
"2703","Up to 1,000 car repair firms ‘face collapse’ two weeks after no-deal Brexit https://t.co/KlVZoWcplA https://t.co/0NlSdfJcRa"
"2704","Brexit hazard warning from car giants as Mini production could be moved out of Oxford in event of no-deal https://t.co/9diEAmSmKs https://t.co/XRu8sn0iDf"
"2705","Vehicle repair companies could collapse after a no-deal #Brexit  https://t.co/43yjOUfWo8"
"2706","@ifdependent He didn't,he stands by his prediction that Brexit will destroy the British car industry and will eliminate most of its manufacturers.He was Thatchers go to guy and is happy to throw millions to the wolves. He's also a climate change denier<U+0001F926><U+200D><U+2642><U+FE0F>"
"2707","Up to 1,000 car repair firms 'face collapse' two weeks after no-deal Brexit https://t.co/lqyWDzqO8s"
"2708","&gt; one third of #Jaguar’s February global retail sales were produced not in <U+0001F1EC><U+0001F1E7>... but in <U+0001F1EA><U+0001F1FA> (Austria)

Jaguar’s collapse in sedan sales (manufactured in UK) poses a headache for UK plants. 

A clandestine #BREXIT exit for the Indian owned company perhaps?"
"2709","With shipping times from generally 3-6 weeks from the <U+0001F1FA><U+0001F1F8> - <U+0001F1EC><U+0001F1E7> Trade between both markets has effectively entered the post #brexit era following Asian markets a few weeks ago."
"2710","@christiaanhtznr @MalmstromEU After #Brexit that Infographic will look a lot different"
"2711","Carmaker McLaren: Short Brexit delay would be frustrating https://t.co/T7uoAkkJGl"
"2712","Carmaker Rolls-Royce - Short Brexit delay would make things worse https://t.co/BeVYcg1Wnl"
"2713","Auto woes drive dip in German industrial output as Brexit nears https://t.co/F1KuyIy3O9"
"2714","Brexit casts shadow over stands at Geneva car show https://t.co/MhyMDRAJu5"
"2715","Can someone remind me of a multi million pound company that has invested in UK since the Brexit vote? Asking for a concerned friend who is about to loose his car building job! https://t.co/6UemrcmzSs"
"2716","Auto woes drive dip in German industrial output as Brexit nears https://t.co/lO1LlZX2YR"
"2717","Carmaker Rolls-Royce: Short Brexit delay would make things worse https://t.co/ka1L8GT4It https://t.co/auYcc5Ctwr"
"2718","Auto woes drive dip in German industrial output as Brexit nears https://t.co/CP02ojcQaz https://t.co/QFBwnF5ObC"
"2719","A few of us in the office have been taking a belt-and-braces approach to driving abroad after #Brexit. Here's our International Driving Permit explainer - and guide how to apply for an international licence
https://t.co/IeCfOHvLkh https://t.co/yHxlwb93WT"
"2720","@demmediablues @AaronBastani @beholdcosmicwav Absolutely. Might agree with @paulmasonnews politics, but how he handled this was a car crash. ""I don't give a toss how you felt, I'm here to discuss poverty, NHS, Brexit"" was just rude++."
"2721","Auto woes drive dip in German industrial output as Brexit nears https://t.co/UL74tm6x1i"
"2722","@JASEMARKRUTTER @UKfollowgain The Brexit party is just a vehicle for Nigel Farages ego. I don’t trust him - I’ll stick with UKIP for now thanks or even For Britain."
"2723","@AbbbiL Green card application to car insurer to drive over the border in the case of a no deal Brexit. <U+0001F625>"
"2724","Carmaker Rolls-Royce: Short Brexit delay would make things worse https://t.co/fOjUju2VIm"
"2725","Auto woes drive dip in German industrial output as Brexit nears https://t.co/o8aEODEnbu"
"2726","Up to 1,000 vehicle repair companies could collapse within 2 weeks of a no-deal Brexit https://t.co/9vTRITMknu via @businessinsider"
"2727","""If we cannot receive parts, we cannot repair cars. If we can't repair cars, we can't maintain our cash flow. If we don't have cash coming in, we can't meet expenses going out of the business""

#Biz4PV #PeoplesVote #PutItToThePeople

READ: https://t.co/NF5s3bYeMK"
"2728","No surprises...call car insurance co to ask what I might need to do re Brexit and travelling to Ireland (soon) Response: ""we don't know yet"" #brexit #BrexitShambles #BrexitCrisis"
"2729","@Jim_Cornelius @GregHands David Davis, Brexit Secretary who didn't understand how the EU works:   ""to secure a good deal Britain’s first port of call should be Berlin, not Brussels - where car exporters like Audi, BMW, Mercedes and Volkswagen would not be willing to risk running into trade tariff.."""
"2730","Carmaker Rolls-Royce: Short Brexit delay would make things worse https://t.co/odE1ZFjAGA"
"2731","Auto woes drive dip in German industrial output as Brexit nears https://t.co/Rj4MaO9NAR"
"2732","Carmaker Rolls-Royce: Short Brexit delay would make things worse https://t.co/JMkTLeHCLK"
"2733","New blow to UK car industry as Toyota warns on no-deal Brexit
 https://t.co/NsnJJB6gxQ"
"2734","Up to 1,000 vehicle repair companies could collapse within 2 weeks of a no-deal Brexit
 https://t.co/XrO6fVseYl"
"2735","Brexit: German car manufacturers coming to the rescue.

BMW could shift production from UK to Austria in event of no deal, board member reveals

https://t.co/FKyLoe0bnx"
